City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3
Hyderabad,1/1/2018,119,65.45,128.52,98.77,135.66,1.25,113.05
Hyderabad,2/1/2018,117,64.35,126.36,97.11,133.38,1.23,111.15
Hyderabad,3/1/2018,156,85.8,168.48,129.48,177.84,1.64,148.2
Hyderabad,4/1/2018,169,92.95,182.52,140.27,192.66,1.77,160.55
Hyderabad,5/1/2018,148,81.4,159.84,122.84,168.72,1.55,140.6
Hyderabad,6/1/2018,146,80.3,157.68,121.18,166.44,1.53,138.7
Hyderabad,7/1/2018,139,76.45,150.12,115.37,158.46,1.46,132.05
Hyderabad,8/1/2018,142,78.1,153.36,117.86,161.88,1.49,134.9
Hyderabad,9/1/2018,153,84.15,165.24,126.99,174.42,1.61,145.35
Hyderabad,10/1/2018,155,85.25,167.4,128.65,176.7,1.63,147.25
Hyderabad,11/1/2018,152,83.6,164.16,126.16,173.28,1.6,144.4
Hyderabad,12/1/2018,151,83.05,163.08,125.33,172.14,1.59,143.45
Hyderabad,13/01/18,148,81.4,159.84,122.84,168.72,1.55,140.6
Hyderabad,14/01/18,137,75.35,147.96,113.71,156.18,1.44,130.15
Hyderabad,15/01/18,143,78.65,154.44,118.69,163.02,1.5,135.85
Hyderabad,16/01/18,135,74.25,145.8,112.05,153.9,1.42,128.25
Hyderabad,17/01/18,124,68.2,133.92,102.92,141.36,1.3,117.8
Hyderabad,18/01/18,130,71.5,140.4,107.9,148.2,1.37,123.5
Hyderabad,19/01/18,128,70.4,138.24,106.24,145.92,1.34,121.6
Hyderabad,20/01/18,134,73.7,144.72,111.22,152.76,1.41,127.3
Hyderabad,21/01/18,135,74.25,145.8,112.05,153.9,1.42,128.25
Hyderabad,22/01/18,151,83.05,163.08,125.33,172.14,1.59,143.45
Hyderabad,23/01/18,120,66,129.6,99.6,136.8,1.26,114
Hyderabad,24/01/18,123,67.65,132.84,102.09,140.22,1.29,116.85
Hyderabad,25/01/18,143,78.65,154.44,118.69,163.02,1.5,135.85
Hyderabad,26/01/18,148,81.4,159.84,122.84,168.72,1.55,140.6
Hyderabad,27/01/18,148,81.4,159.84,122.84,168.72,1.55,140.6
Hyderabad,28/01/18,137,75.35,147.96,113.71,156.18,1.44,130.15
Hyderabad,29/01/18,141,77.55,152.28,117.03,160.74,1.48,133.95
Hyderabad,30/01/18,143,78.65,154.44,118.69,163.02,1.5,135.85
Hyderabad,31/01/18,126,69.3,136.08,104.58,143.64,1.32,119.7
Hyderabad,1/2/2018,117,64.35,126.36,97.11,133.38,1.23,111.15
Hyderabad,2/2/2018,115,63.25,124.2,95.45,131.1,1.21,109.25
Hyderabad,3/2/2018,107,58.85,115.56,88.81,121.98,1.12,101.65
Hyderabad,4/2/2018,103,56.65,111.24,85.49,117.42,1.08,97.85
Hyderabad,5/2/2018,122,67.1,131.76,101.26,139.08,1.28,115.9
Hyderabad,6/2/2018,116,63.8,125.28,96.28,132.24,1.22,110.2
Hyderabad,7/2/2018,138,75.9,149.04,114.54,157.32,1.45,131.1
Hyderabad,8/2/2018,104,57.2,112.32,86.32,118.56,1.09,98.8
Hyderabad,9/2/2018,105,57.75,113.4,87.15,119.7,1.1,99.75
Hyderabad,10/2/2018,115,63.25,124.2,95.45,131.1,1.21,109.25
Hyderabad,11/2/2018,102,56.1,110.16,84.66,116.28,1.07,96.9
Hyderabad,12/2/2018,100,55,108,83,114,1.05,95
Hyderabad,13/02/18,99,54.45,106.92,82.17,112.86,1.04,94.05
Hyderabad,14/02/18,97,53.35,104.76,80.51,110.58,1.02,92.15
Hyderabad,15/02/18,115,63.25,124.2,95.45,131.1,1.21,109.25
Hyderabad,16/02/18,105,57.75,113.4,87.15,119.7,1.1,99.75
Hyderabad,17/02/18,108,59.4,116.64,89.64,123.12,1.13,102.6
Hyderabad,18/02/18,118,64.9,127.44,97.94,134.52,1.24,112.1
Hyderabad,19/02/18,104,57.2,112.32,86.32,118.56,1.09,98.8
Hyderabad,20/02/18,93,51.15,100.44,77.19,106.02,0.98,88.35
Hyderabad,21/02/18,108,59.4,116.64,89.64,123.12,1.13,102.6
Hyderabad,22/02/18,115,63.25,124.2,95.45,131.1,1.21,109.25
Hyderabad,23/02/18,134,73.7,144.72,111.22,152.76,1.41,127.3
Hyderabad,24/02/18,102,56.1,110.16,84.66,116.28,1.07,96.9
