District,STATE,ID
Morbi,Gujarat,1
Ahmadabad,Gujarat,2
Anand,Gujarat,3
Devbhumi Dwarka,Gujarat,4
Jamnagar,Gujarat,5
Kachchh,Gujarat,6
Bhavnagar,Gujarat,7
Bharuch,Gujarat,8
Surat,Gujarat,9
Navsari,Gujarat,10
Valsad,Gujarat,11
Agar Malwa,Madhya Pradesh,12
Disputed (Ratlam & Mandsaur),Madhya Pradesh,13
Agra,Uttar Pradesh,14
Ajmer,Rajasthan,15
Alappuzha,Kerala,16
Aligarh,Uttar Pradesh,17
Alirajpur,Madhya Pradesh,18
Disputed (Alirajpur & Dahod),Disputed (Madhya Pradesh & Gujarat),19
Almora,Uttarakhand,20
Alwar,Rajasthan,21
Ambedkarnagar,Uttar Pradesh,22
Amethi,Uttar Pradesh,23
Amroha,Uttar Pradesh,24
Anantapur,Andhra Pradesh,25
Anugul,Odisha,26
Anuppur,Madhya Pradesh,27
Aravalli,Gujarat,28
Ashoknagar,Madhya Pradesh,29
Auraiya,Uttar Pradesh,30
Azamgarh,Uttar Pradesh,31
Budaun,Uttar Pradesh,32
Bagalkot,Karnataka,33
Bageshwar,Uttarakhand,34
Baghpat,Uttar Pradesh,35
Bahraich,Uttar Pradesh,36
Balaghat,Madhya Pradesh,37
Bolangir (Balangir),Odisha,38
Balasore (Baleshwar),Odisha,39
Ballari,Karnataka,40
Ballia,Uttar Pradesh,41
Balod,Chhattisgarh,42
Baloda Bazar,Chhattisgarh,43
Balrampur,Chhattisgarh,44
Balrampur,Uttar Pradesh,45
Banas Kantha,Gujarat,46
Banda,Uttar Pradesh,47
Banswara,Rajasthan,48
Barabanki,Uttar Pradesh,49
Baragarh,Odisha,50
Baran,Rajasthan,51
Bareilly,Uttar Pradesh,52
Barmer,Rajasthan,53
Barwani,Madhya Pradesh,54
Bastar,Chhattisgarh,55
Basti,Uttar Pradesh,56
Belagavi,Karnataka,57
Bemetara,Chhattisgarh,58
Bengaluru Rural,Karnataka,59
Bengaluru Urban,Karnataka,60
Betul,Madhya Pradesh,61
Bhadohi,Uttar Pradesh,62
Bhadrak,Odisha,63
Bharatpur,Rajasthan,64
Bhilwara,Rajasthan,65
Bhind,Madhya Pradesh,66
Bhopal,Madhya Pradesh,67
Bidar,Karnataka,68
Bijapur,Chhattisgarh,69
Bijnor,Uttar Pradesh,70
Bikaner,Rajasthan,71
Bilaspur,Chhattisgarh,72
Gaurela-Pendra-Marwahi,Chhattisgarh,73
Bilaspur,Himachal Pradesh,74
Bishnupur,Manipur,75
Bokaro,Jharkhand,76
Bulandshahr,Uttar Pradesh,77
Bundi,Rajasthan,78
Burhanpur,Madhya Pradesh,79
Central,Delhi,80
Chamarajanagar,Karnataka,81
Chamba,Himachal Pradesh,82
Champawat,Uttarakhand,83
Champhai,Mizoram,84
Chandauli,Uttar Pradesh,85
Chandel,Manipur,86
Chandigarh,Chandigarh,87
Chatra,Jharkhand,88
Chhatarpur,Madhya Pradesh,89
Chhindwara,Madhya Pradesh,90
Chhota Udepur,Gujarat,91
Chik Ballapur,Karnataka,92
Chikkamagaluru,Karnataka,93
Chitradurga,Karnataka,94
Chitrakoot,Uttar Pradesh,95
Chittaurgarh,Rajasthan,96
Chittoor,Andhra Pradesh,97
Churachandpur,Manipur,98
Churu,Rajasthan,99
Y S R Kadapa,Andhra Pradesh,100
Cuttack,Odisha,101
Dahod,Gujarat,102
Dakshina  Kannada,Karnataka,103
Daman,Dadra & Nagar Haveli & Daman & Diu,104
Damoh,Madhya Pradesh,105
Dangs,Gujarat,106
Dakshin Bastar Dantewada,Chhattisgarh,107
Datia,Madhya Pradesh,108
Dausa,Rajasthan,109
Davangere,Karnataka,110
Dehradun,Uttarakhand,111
Deogarh,Odisha,112
Deoria,Uttar Pradesh,113
Dewas,Madhya Pradesh,114
Dhalai,Tripura,115
Dhamtari,Chhattisgarh,116
Dhanbad,Jharkhand,117
Dhar,Madhya Pradesh,118
Ayodhya,Uttar Pradesh,119
Deoghar,Jharkhand,120
Dharwad,Karnataka,121
Dhenkanal,Odisha,122
Dhaulpur,Rajasthan,123
Dindori,Madhya Pradesh,124
Dumka,Jharkhand,125
Dungarpur,Rajasthan,126
Durg,Chhattisgarh,127
East,Delhi,128
East,Sikkim,129
East Garo Hills,Meghalaya,130
East Godavari,Andhra Pradesh,131
East Khasi Hills,Meghalaya,132
East Nimar,Madhya Pradesh,133
Ernakulam,Kerala,134
Etah,Uttar Pradesh,135
Etawah,Uttar Pradesh,136
Farrukhabad,Uttar Pradesh,137
Fatehpur,Uttar Pradesh,138
Firozabad,Uttar Pradesh,139
Gadag,Karnataka,140
Gajapati,Odisha,141
Ganjam,Odisha,142
Garhwa,Jharkhand,143
Gariyaband,Chhattisgarh,144
Gautambudhnagar,Uttar Pradesh,145
Gazipur,Uttar Pradesh,146
Ghaziabad,Uttar Pradesh,147
Gir Somnath,Gujarat,148
Giridih,Jharkhand,149
Godda,Jharkhand,150
Gomati,Tripura,151
Gonda,Uttar Pradesh,152
Gorakhpur,Uttar Pradesh,153
Gumla,Jharkhand,154
Guna,Madhya Pradesh,155
Guntur,Andhra Pradesh,156
Gwalior,Madhya Pradesh,157
Hamirpur,Himachal Pradesh,158
Hamirpur,Uttar Pradesh,159
Hanumangarh,Rajasthan,160
Hapur,Uttar Pradesh,161
Harda,Madhya Pradesh,162
Hardoi,Uttar Pradesh,163
Haridwar,Uttarakhand,164
Hassan,Karnataka,165
Hathras,Uttar Pradesh,166
Haveri,Karnataka,167
Hazaribagh,Jharkhand,168
Hoshangabad,Madhya Pradesh,169
Idukki,Kerala,170
Imphal West,Manipur,171
Indore,Madhya Pradesh,172
Jabalpur,Madhya Pradesh,173
Jagatsinghpur,Odisha,174
Jaipur,Rajasthan,175
Jaisalmer,Rajasthan,176
Jajapur,Odisha,177
Jalaun,Uttar Pradesh,178
Jalor,Rajasthan,179
Jamtara,Jharkhand,180
Janjgir - Champa,Chhattisgarh,181
Jashpur,Chhattisgarh,182
Jaunpur,Uttar Pradesh,183
Jhabua,Madhya Pradesh,184
Disputed (Ratlam & Banswara),Disputed (Madhya Pradesh & Rajasthan),185
Jhalawar,Rajasthan,186
Jhansi,Uttar Pradesh,187
Jharsuguda,Odisha,188
Jhunjhunun,Rajasthan,189
Jodhpur,Rajasthan,190
Junagadh,Gujarat,191
Kabirdham,Chhattisgarh,192
Kalaburagi,Karnataka,193
Kalahandi,Odisha,194
Kandhamal,Odisha,195
Kangra,Himachal Pradesh,196
Uttar Bastar Kanker,Chhattisgarh,197
Kannauj,Uttar Pradesh,198
Kannur,Kerala,199
Kanpur,Uttar Pradesh,200
Kanpur Dehat,Uttar Pradesh,201
Karaikal,Puducherry,202
Karauli,Rajasthan,203
Kasaragod,Kerala,204
Kasganj,Uttar Pradesh,205
Katni,Madhya Pradesh,206
Kaushambi,Uttar Pradesh,207
Kendraparha,Odisha,208
Keonjhar (Kendujhar),Odisha,209
Kheri,Uttar Pradesh,210
Khordha,Odisha,211
Khowai,Tripura,212
Khunti,Jharkhand,213
Ganganagar,Rajasthan,214
East Jaintia Hills,Meghalaya,215
Kodagu,Karnataka,216
Kodarma,Jharkhand,217
Kolar,Karnataka,218
Kollam,Kerala,219
Kondagaon,Chhattisgarh,220
Koppal,Karnataka,221
Koraput,Odisha,222
Korba,Chhattisgarh,223
Korea,Chhattisgarh,224
Kota,Rajasthan,225
Kottayam,Kerala,226
Kozhikode,Kerala,227
Krishna,Andhra Pradesh,228
Kullu,Himachal Pradesh,229
Kurnool,Andhra Pradesh,230
Kushinagar,Uttar Pradesh,231
Lakshadweep,Lakshadweep,232
Lalitpur,Uttar Pradesh,233
Latehar,Jharkhand,234
Lohardaga,Jharkhand,235
Lucknow,Uttar Pradesh,236
Mahasamund,Chhattisgarh,237
Mahe,Puducherry,238
Mahisagar,Gujarat,239
Mahoba,Uttar Pradesh,240
Mainpuri,Uttar Pradesh,241
Malappuram,Kerala,242
"Disputed (Sahibganj, Maldah & Katihar)","Disputed (West Bengal , Bihar & Jharkhand)",243
Malkangiri,Odisha,244
Mandya,Karnataka,245
Mandi,Himachal Pradesh,246
Mandla,Madhya Pradesh,247
Mandsaur,Madhya Pradesh,248
Mathura,Uttar Pradesh,249
Mau,Uttar Pradesh,250
Mayurbhanj,Odisha,251
Meerut,Uttar Pradesh,252
Mirzapur,Uttar Pradesh,253
Moradabad,Uttar Pradesh,254
Morena,Madhya Pradesh,255
Mungeli,Chhattisgarh,256
Muzaffarnagar,Uttar Pradesh,257
Mysuru,Karnataka,258
Nabarangapur,Odisha,259
Nagaur,Rajasthan,260
Nainital,Uttarakhand,261
Narainpur,Chhattisgarh,262
Narmada,Gujarat,263
Narshimapura,Madhya Pradesh,264
