STATE,State_LGD,ID
Andaman & Nicobar,35,1
Andhra Pradesh,28,2
Arunachal Pradesh,12,3
Assam,18,4
Bihar,10,5
Chandigarh,4,6
Chhattisgarh,22,7
Dadra & Nagar Haveli & Daman & Diu,38,8
Delhi,7,9
Disputed (Madhya Pradesh & Gujarat),0,10
Disputed (Madhya Pradesh & Rajasthan),0,11
Disputed (Rajathan & Gujarat),0,12
Disputed (West Bengal Bihar Jharkhand),0,13
Goa,30,14
Gujarat,24,15
Haryana,6,16
Himachal Pradesh,2,17
Jammu And Kashmir,1,18
Jharkhand,20,19
Karnataka,29,20
Kerala,32,21
Ladakh,37,22
Lakshadweep,31,23
Madhya Pradesh,23,24
Maharashtra,27,25
Manipur,14,26
Meghalaya,17,27
Mizoram,15,28
Nagaland,13,29
Odisha,21,30
Puducherry,34,31
Punjab,3,32
Rajasthan,8,33
Sikkim,11,34
Tamil Nadu,33,35
Telangana,36,36
Tripura,16,37
Uttarakhand,5,38
Uttar Pradesh,9,39
West Bengal,19,40
